state_name,7-Eleven,Ak Buffet,Arby's,Arctic Circle,B Good,Big Island Pizza,Blake's Lotaburger,Boloco,Boston Market,Burger King,Carl's Jr.,Chick-fil-A,Chun Wah Kam Noodle Factory,Creperie,Culver's,Dairy Queen,Domino's Pizza,Dunkin' Donuts,Hardee's,Jack in the Box,Jimmy John's,KFC,Krystal,McDonald's,Other,Panda Express,Panera Bread,Pizza Hut,SONIC Drive In,Subway,Taco Bell,Taco John's,Taco Time,Wendy's
Alaska,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,0
Alabama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
Arkansas,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,0,0,10,14,0,0,12
Arizona,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,25,0,0,0,56,138,0,0,0,0,19,40,0,0,0
California,0,0,0,0,0,0,0,0,0,113,82,0,0,0,0,0,0,0,0,125,0,0,0,141,546,0,0,0,0,0,115,0,0,0
Colorado,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,0,0,0,18,24,0,0,12
Connecticut,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,17,4,0,0,0
Delaware,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,3,4,0,0,0
Florida,0,0,41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,133,238,0,0,0,0,0,67,0,0,53
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,90,162,0,0,0,0,35,40,0,0,36
Hawaii,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,9,0,0,0,11,5,0,0,0,0,0,0,0,0,0
Iowa,0,0,10,0,0,0,0,0,0,8,0,0,0,0,11,13,0,0,0,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,0,0,10,0,0,4,5
Illinois,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,23,0,0,69,179,0,0,0,0,29,29,0,0,0
Indiana,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,15,0,25,41,0,0,22
Kansas,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,9,13,0,0,12
Kentucky,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,0,0,0,0,10,18,0,0,18
Louisiana,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,12,0,0,0,0,0,0,44,71,0,0,0,0,0,24,0,0,17
Massachusetts,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,33,0,0,0,0,0,33,63,0,0,0,0,27,0,0,0,17
Maryland,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,13,18,0,0,0
Maine,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,3
Michigan,0,0,42,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,0,0,0,0,47,50,0,0,0
Minnesota,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13,0,0,49,64,0,0,0,0,0,14,0,0,0
Missouri,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,32,53,0,0,0,0,17,38,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,3,0,8,5,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,7,3,8,0,0
North Carolina,0,0,22,0,0,0,0,0,0,32,0,20,0,0,0,0,0,0,0,0,0,0,0,62,120,0,0,0,0,28,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,5,4,5,0,0
Nebraska,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,6,0,9,0,7,0,0
New Hampshire,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,7,7,0,0,0,0,0,6,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,18,42,0,0,0,0,0,12,0,0,19
New Mexico,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,11,0,0,11,0,0,5
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,23,43,8,0,0,0,0,19,0,0,10
New York,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,95,109,0,0,0,0,51,22,0,0,22
Ohio,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,208,0,0,0,0,64,43,0,0,43
Oklahoma,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,67,0,0,0,16,18,10,0,0,0
Oregon,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,0,0,0,0,13,13,0,0,0
Pennsylvania,0,0,27,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,93,143,0,0,0,0,38,0,0,0,36
Rhode Island,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3
South Carolina,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,27,78,0,0,0,0,21,0,0,0,20
South Dakota,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,9,0,0,0,0,4,0,6,0,0
Tennessee,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,63,118,0,0,0,0,26,21,0,0,0
Texas,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,88,0,0,0,130,386,0,0,0,0,51,52,0,0,0
Utah,0,0,15,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,6,0,0,0
Virginia,0,0,31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,22,29,0,0,26
Vermont,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,1,0,0,0
Washington,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,18,0,0,0,41,63,0,0,0,0,17,29,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0,0,0,0,34,75,0,0,0,0,20,18,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,5,0,0,0,0,0,0,16,20,0,0,0,0,0,7,0,0,0
Wyoming,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,8,0,0,3,0,2,0,0,0,0
